wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,4,0,0,0,t00
dolnośląskie,bolesławiecki,73792,0,33395,0,t0201
dolnośląskie,dzierżoniowski,69505,55,32622,41,t0202
dolnośląskie,głogowski,65448,0,29876,0,t0203
dolnośląskie,górowski,26929,0,12234,0,t0204
dolnośląskie,jaworski,39508,0,17896,0,t0205
dolnośląskie,jeleniogórski,51688,0,23979,0,t0206
dolnośląskie,kamiennogórski,32071,0,15079,0,t0207
dolnośląskie,kłodzki,129871,20,60956,0,t0208
dolnośląskie,legnicki,44457,36,19850,15,t0209
dolnośląskie,lubański,30308,0,12821,0,t0210
dolnośląskie,lubiński,125716,81,60243,50,t0211
dolnośląskie,lwówecki,42332,0,19686,0,t0212
dolnośląskie,milicki,34680,0,16417,0,t0213
dolnośląskie,oleśnicki,99781,113,45757,62,t0214
dolnośląskie,oławski,45887,0,21639,0,t0215
dolnośląskie,polkowicki,42017,0,18429,0,t0216
dolnośląskie,strzeliński,37521,0,17540,0,t0217
dolnośląskie,średzki,22200,0,10506,0,t0218
dolnośląskie,świdnicki,103298,173,47497,72,t0219
dolnośląskie,trzebnicki,60203,65,29035,22,t0220
dolnośląskie,wałbrzyski,31575,0,15071,0,t0221
dolnośląskie,wołowski,42870,0,19158,0,t0222
dolnośląskie,wrocławski,104208,60,49698,28,t0223
dolnośląskie,ząbkowicki,56088,6,26285,0,t0224
dolnośląskie,zgorzelecki,60434,46,27443,0,t0225
dolnośląskie,złotoryjski,35345,0,15951,0,t0226
dolnośląskie,Jelenia Góra,90958,40,43859,31,t0261
dolnośląskie,Legnica,90869,33,42845,8,t0262
dolnośląskie,Wrocław,1059384,496,498271,151,t0264
dolnośląskie,Wałbrzych,212340,42,99154,17,t0265
kujawsko-pomorskie,aleksandrowski,133208,0,63418,0,t0401
kujawsko-pomorskie,brodnicki,73112,10,34359,2,t0402
kujawsko-pomorskie,bydgoski,77867,148,36921,30,t0403
kujawsko-pomorskie,chełmiński,42364,31,19912,0,t0404
kujawsko-pomorskie,golubsko-dobrzyński,36227,0,16863,0,t0405
kujawsko-pomorskie,grudziądzki,26709,0,12089,0,t0406
kujawsko-pomorskie,inowrocławski,105627,23,50261,3,t0407
kujawsko-pomorskie,lipnowski,53991,14,24885,9,t0408
kujawsko-pomorskie,mogileński,33308,47,15508,26,t0409
kujawsko-pomorskie,nakielski,85931,337,38561,95,t0410
kujawsko-pomorskie,radziejowski,44912,0,21044,0,t0411
kujawsko-pomorskie,rypiński,36268,0,17080,0,t0412
kujawsko-pomorskie,sępoleński,49101,18,22641,0,t0413
kujawsko-pomorskie,świecki,79325,29,36479,14,t0414
kujawsko-pomorskie,toruński,72798,11,31978,0,t0415
kujawsko-pomorskie,tucholski,39784,36,18291,10,t0416
kujawsko-pomorskie,wąbrzeski,28667,0,13006,0,t0417
kujawsko-pomorskie,włocławski,65859,22,31444,13,t0418
kujawsko-pomorskie,żniński,53397,129,25400,75,t0419
kujawsko-pomorskie,Bydgoszcz,439169,243,205316,49,t0461
kujawsko-pomorskie,Grudziądz,125275,25,57960,9,t0462
kujawsko-pomorskie,Toruń,195739,279,90872,104,t0463
kujawsko-pomorskie,Włocławek,95633,67,43297,18,t0464
lubelskie,bialski,62435,0,28658,0,t0601
lubelskie,biłgorajski,54884,0,26135,0,t0602
lubelskie,chełmski,36651,12,17326,7,t0603
lubelskie,hrubieszowski,45566,0,20956,0,t0604
lubelskie,janowski,31498,15,14721,6,t0605
lubelskie,krasnostawski,41756,30,19284,15,t0606
lubelskie,kraśnicki,67624,22,32019,0,t0607
lubelskie,lubartowski,56014,83,26316,51,t0608
lubelskie,lubelski,85430,89,39101,47,t0609
lubelskie,łęczyński,40636,0,19486,0,t0610
lubelskie,łukowski,57302,52,26904,27,t0611
lubelskie,opolski,45810,0,21154,0,t0612
lubelskie,parczewski,28500,0,13219,0,t0613
lubelskie,puławski,99378,23,47427,0,t0614
lubelskie,radzyński,31202,5,14831,0,t0615
lubelskie,rycki,54313,36,26055,21,t0616
lubelskie,świdnicki,46733,15,22403,7,t0617
lubelskie,tomaszowski,56794,67,26332,18,t0618
lubelskie,włodawski,35425,0,16543,0,t0619
lubelskie,zamojski,49284,9,23907,1,t0620
lubelskie,Biała Podlaska,71174,20,33632,8,t0661
lubelskie,Chełm,64308,59,29426,23,t0662
lubelskie,Lublin,449695,228,206545,55,t0663
lubelskie,Zamość,90788,0,42788,0,t0664
lubuskie,gorzowski,29716,0,13853,0,t0801
lubuskie,krośnieński,51624,25,24365,9,t0802
lubuskie,międzyrzecki,67777,95,31647,30,t0803
lubuskie,nowosolski,93272,170,41855,33,t0804
lubuskie,słubicki,39043,123,18634,55,t0805
lubuskie,strzelecko-drezdenecki,51378,49,23086,5,t0806
lubuskie,sulęciński,31350,0,14295,0,t0807
lubuskie,świebodziński,55751,61,25868,24,t0808
lubuskie,zielonogórski,89934,72,41889,48,t0809
lubuskie,żagański,69687,342,31714,12,t0810
lubuskie,żarski,101025,42,47530,8,t0811
lubuskie,wschowski,27718,55,13309,44,t0812
lubuskie,Gorzów Wielkopolski,154056,191,70734,101,t0861
lubuskie,Zielona Góra,152602,11,72859,0,t0862
łódzkie,bełchatowski,74985,60,34382,25,t1001
łódzkie,kutnowski,89879,37,43689,21,t1002
łódzkie,łaski,36573,11,17536,0,t1003
łódzkie,łęczycki,52211,0,24091,0,t1004
łódzkie,łowicki,91163,0,43568,0,t1005
łódzkie,łódzki wschodni,37663,8,17022,0,t1006
łódzkie,opoczyński,60566,0,27413,0,t1007
łódzkie,pabianicki,109433,33,51912,17,t1008
łódzkie,pajęczański,30131,0,13716,0,t1009
łódzkie,piotrkowski,50976,154,23700,73,t1010
łódzkie,poddębicki,37624,0,17849,0,t1011
łódzkie,radomszczański,89983,64,42541,8,t1012
łódzkie,rawski,29241,0,13375,0,t1013
łódzkie,sieradzki,101558,72,46514,41,t1014
łódzkie,skierniewicki,24389,0,11509,0,t1015
łódzkie,tomaszowski,106909,0,50749,0,t1016
łódzkie,wieluński,88606,52,42274,22,t1017
łódzkie,wieruszowski,33430,0,15193,0,t1018
łódzkie,zduńskowolski,50613,73,23542,35,t1019
łódzkie,zgierski,131344,42,61837,1,t1020
łódzkie,brzeziński,35120,0,16777,0,t1021
łódzkie,Łódź,911494,511,431258,145,t1061
łódzkie,Piotrków Trybunalski,82868,25,38804,0,t1062
łódzkie,Skierniewice,73466,26,34687,0,t1063
małopolskie,bocheński,79164,91,35651,55,t1201
małopolskie,brzeski,67607,97,31442,42,t1202
małopolskie,chrzanowski,111825,20,51645,11,t1203
małopolskie,dąbrowski,42675,8,20028,0,t1204
małopolskie,gorlicki,86534,26,41046,1,t1205
małopolskie,krakowski,160580,115,75366,71,t1206
małopolskie,limanowski,89577,71,41213,38,t1207
małopolskie,miechowski,61027,13,29326,0,t1208
małopolskie,myślenicki,104262,137,49133,51,t1209
małopolskie,nowosądecki,131753,124,59182,32,t1210
małopolskie,nowotarski,131904,111,60219,73,t1211
małopolskie,olkuski,110463,67,51374,36,t1212
małopolskie,oświęcimski,122034,193,57671,89,t1213
małopolskie,proszowicki,44119,6,21034,0,t1214
małopolskie,suski,69178,4,32834,0,t1215
małopolskie,tarnowski,95971,52,44695,5,t1216
małopolskie,tatrzański,35620,20,16909,20,t1217
małopolskie,wadowicki,120433,189,54207,110,t1218
małopolskie,wielicki,111262,88,50582,40,t1219
małopolskie,Kraków,1188429,703,564950,352,t1261
małopolskie,Nowy Sącz,64224,90,30494,3,t1262
małopolskie,Tarnów,114297,115,52614,53,t1263
mazowieckie,białobrzeski,35904,33,17119,13,t1401
mazowieckie,ciechanowski,80647,85,38381,44,t1402
mazowieckie,garwoliński,83377,71,40007,57,t1403
mazowieckie,gostyniński,28490,117,13783,61,t1404
mazowieckie,grodziski,95928,20,44210,13,t1405
mazowieckie,grójecki,106038,53,50115,33,t1406
mazowieckie,kozienicki,44307,51,21194,24,t1407
mazowieckie,legionowski,76582,69,33659,22,t1408
mazowieckie,lipski,26617,47,12664,21,t1409
mazowieckie,łosicki,18649,0,9012,0,t1410
mazowieckie,makowski,41567,0,19348,0,t1411
mazowieckie,miński,129835,195,58458,95,t1412
mazowieckie,mławski,61081,36,29086,22,t1413
mazowieckie,nowodworski,112973,345,52536,140,t1414
mazowieckie,ostrołęcki,50027,3,23512,0,t1415
mazowieckie,ostrowski,50828,25,24762,1,t1416
mazowieckie,otwocki,92305,22,44592,4,t1417
mazowieckie,piaseczyński,244911,161,115112,69,t1418
mazowieckie,płocki,86465,75,41174,13,t1419
mazowieckie,płoński,80291,76,37471,49,t1420
mazowieckie,pruszkowski,135537,0,64210,0,t1421
mazowieckie,przasnyski,50592,12,24288,3,t1422
mazowieckie,przysuski,28880,70,13593,40,t1423
mazowieckie,pułtuski,46728,0,22387,0,t1424
mazowieckie,radomski,64066,221,30184,145,t1425
mazowieckie,siedlecki,31203,11,15007,11,t1426
mazowieckie,sierpecki,44935,10,21401,0,t1427
mazowieckie,sochaczewski,83683,0,39682,0,t1428
mazowieckie,sokołowski,42565,6,20057,0,t1429
mazowieckie,szydłowiecki,20949,58,9341,18,t1430
mazowieckie,warszawski zachodni,115211,60,54801,14,t1432
mazowieckie,węgrowski,46547,8,22211,0,t1433
mazowieckie,wołomiński,211483,323,95838,30,t1434
mazowieckie,wyszkowski,63104,0,30126,0,t1435
mazowieckie,zwoleński,28538,0,13665,0,t1436
mazowieckie,żuromiński,29644,0,14606,0,t1437
mazowieckie,żyrardowski,57243,0,27020,0,t1438
mazowieckie,Ostrołęka,70900,0,33993,0,t1461
mazowieckie,Płock,130163,24,60341,6,t1462
mazowieckie,Radom,234557,105,108676,68,t1463
mazowieckie,Siedlce,118113,62,55812,27,t1464
mazowieckie,Warszawa,2577548,1701,1208890,738,t1465
opolskie,brzeski,71478,5,33719,0,t1601
opolskie,głubczycki,41680,0,19743,0,t1602
opolskie,kędzierzyńsko-kozielski,80799,0,38291,0,t1603
opolskie,kluczborski,54857,1,26035,0,t1604
opolskie,krapkowicki,97711,152,44986,89,t1605
opolskie,namysłowski,28351,52,13382,6,t1606
opolskie,nyski,94394,25,45374,17,t1607
opolskie,oleski,49161,29,23383,10,t1608
opolskie,opolski,66415,11,31046,0,t1609
opolskie,prudnicki,40187,28,18851,10,t1610
opolskie,strzelecki,57286,4,26675,0,t1611
opolskie,Opole,188811,107,88828,59,t1661
podkarpackie,bieszczadzki,10189,0,4922,0,t1801
podkarpackie,brzozowski,46706,8,21989,1,t1802
podkarpackie,dębicki,66471,35,28816,0,t1803
podkarpackie,jarosławski,57756,61,26556,26,t1804
podkarpackie,jasielski,60438,120,27445,52,t1805
podkarpackie,kolbuszowski,23063,8,10743,2,t1806
podkarpackie,krośnieński,50177,0,24270,0,t1807
podkarpackie,leżajski,41513,2,18983,2,t1808
podkarpackie,lubaczowski,33303,1,15461,0,t1809
podkarpackie,łańcucki,41272,0,19801,0,t1810
podkarpackie,mielecki,88219,0,42062,0,t1811
podkarpackie,niżański,33146,0,15963,0,t1812
podkarpackie,przemyski,19559,1,9533,0,t1813
podkarpackie,przeworski,30320,8,14617,0,t1814
podkarpackie,ropczycko-sędziszowski,38998,25,17922,17,t1815
podkarpackie,rzeszowski,55409,23,25950,16,t1816
podkarpackie,sanocki,38685,19,17978,7,t1817
podkarpackie,stalowowolski,74372,4,35217,0,t1818
podkarpackie,strzyżowski,27998,6,13650,0,t1819
podkarpackie,tarnobrzeski,16184,10,7316,5,t1820
podkarpackie,leski,14408,0,6895,0,t1821
podkarpackie,Krosno,44414,82,21289,18,t1861
podkarpackie,Przemyśl,46144,12,21126,0,t1862
podkarpackie,Rzeszów,565720,677,263941,305,t1863
podkarpackie,Tarnobrzeg,62268,4,29304,0,t1864
podlaskie,augustowski,43551,0,20232,0,t2001
podlaskie,białostocki,63554,28,30351,27,t2002
podlaskie,bielski,36849,0,17534,0,t2003
podlaskie,grajewski,28828,20,13841,8,t2004
podlaskie,hajnowski,29525,0,13920,0,t2005
podlaskie,kolneński,22561,4,10571,1,t2006
podlaskie,łomżyński,15891,0,7492,0,t2007
podlaskie,moniecki,23389,0,11135,0,t2008
podlaskie,sejneński,12289,0,5791,0,t2009
podlaskie,siemiatycki,31930,0,15457,0,t2010
podlaskie,sokólski,43585,0,20960,0,t2011
podlaskie,suwalski,8660,0,4129,0,t2012
podlaskie,wysokomazowiecki,47529,20,22706,4,t2013
podlaskie,zambrowski,27524,75,12836,46,t2014
podlaskie,Białystok,493067,181,229398,61,t2061
podlaskie,Łomża,68658,5,32795,2,t2062
podlaskie,Suwałki,57420,0,26435,0,t2063
pomorskie,bytowski,68021,15,31735,0,t2201
pomorskie,chojnicki,87927,57,41511,37,t2202
pomorskie,człuchowski,41536,7,18681,0,t2203
pomorskie,gdański,59713,135,28611,35,t2204
pomorskie,kartuski,93466,92,43989,43,t2205
pomorskie,kościerski,64152,0,30491,0,t2206
pomorskie,kwidzyński,64858,9,30545,3,t2207
pomorskie,lęborski,58428,12,27171,0,t2208
pomorskie,malborski,41816,0,19949,0,t2209
pomorskie,nowodworski,32845,44,15351,20,t2210
pomorskie,pucki,59387,0,27983,0,t2211
pomorskie,słupski,46734,41,22251,22,t2212
pomorskie,starogardzki,100595,0,47431,0,t2213
pomorskie,tczewski,82690,0,37837,0,t2214
pomorskie,wejherowski,160047,246,75561,127,t2215
pomorskie,sztumski,42914,23,19650,11,t2216
pomorskie,Gdańsk,825541,482,391292,164,t2261
pomorskie,Gdynia,287752,274,130547,101,t2262
pomorskie,Słupsk,116305,96,54967,31,t2263
pomorskie,Sopot,93509,15,45306,6,t2264
śląskie,będziński,112698,151,53084,95,t2401
śląskie,bielski,110495,127,49189,24,t2402
śląskie,cieszyński,161622,23,75753,4,t2403
śląskie,częstochowski,90428,15,42909,1,t2404
śląskie,gliwicki,135103,125,59495,61,t2405
śląskie,kłobucki,58668,170,27344,89,t2406
śląskie,lubliniecki,54838,99,25381,75,t2407
śląskie,mikołowski,42250,72,20237,38,t2408
śląskie,myszkowski,56584,135,26897,54,t2409
śląskie,pszczyński,66481,47,31384,10,t2410
śląskie,raciborski,90374,70,42346,42,t2411
śląskie,rybnicki,26499,43,12899,28,t2412
śląskie,tarnogórski,149140,17,71418,4,t2413
śląskie,bieruńsko-lędziński,39529,54,18734,13,t2414
śląskie,wodzisławski,126830,0,58990,0,t2415
śląskie,zawierciański,105063,76,48640,45,t2416
śląskie,żywiecki,108087,64,51317,5,t2417
śląskie,Bielsko-Biała,221461,164,103459,74,t2461
śląskie,Bytom,146035,0,68235,0,t2462
śląskie,Chorzów,116003,0,54339,0,t2463
śląskie,Częstochowa,265512,189,124231,66,t2464
śląskie,Dąbrowa Górnicza,92183,0,43115,0,t2465
śląskie,Gliwice,282063,273,131612,63,t2466
śląskie,Jastrzębie-Zdrój,59839,23,28087,2,t2467
śląskie,Jaworzno,93517,154,43218,63,t2468
śląskie,Katowice,591379,103,277273,38,t2469
śląskie,Mysłowice,50884,0,24502,0,t2470
śląskie,Piekary Śląskie,39134,5,18387,0,t2471
śląskie,Ruda Śląska,184436,1,88851,1,t2472
śląskie,Rybnik,69061,18,32183,2,t2473
śląskie,Siemianowice Śląskie,89437,28,42611,13,t2474
śląskie,Sosnowiec,216939,120,99966,56,t2475
śląskie,Świętochłowice,41807,102,19688,48,t2476
śląskie,Tychy,114901,43,55154,1,t2477
śląskie,Zabrze,138458,55,62511,3,t2478
śląskie,Żory,63376,96,29615,61,t2479
świętokrzyskie,buski,52840,5,24852,0,t2601
