wojewodztwo,powiat_miasto,liczba_szczepien_ogolnie,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,4,0,0,0,t00
dolnośląskie,bolesławiecki,77347,171,34192,43,t0201
dolnośląskie,dzierżoniowski,73497,97,33603,13,t0202
dolnośląskie,głogowski,69581,188,30918,26,t0203
dolnośląskie,górowski,27828,21,12442,1,t0204
dolnośląskie,jaworski,41215,72,18236,21,t0205
dolnośląskie,jeleniogórski,54073,59,24426,5,t0206
dolnośląskie,kamiennogórski,33972,49,15598,7,t0207
dolnośląskie,kłodzki,136900,263,62286,36,t0208
dolnośląskie,legnicki,45889,12,20134,0,t0209
dolnośląskie,lubański,32037,74,13176,18,t0210
dolnośląskie,lubiński,131261,288,61362,63,t0211
dolnośląskie,lwówecki,44421,34,20195,3,t0212
dolnośląskie,milicki,36450,23,16823,0,t0213
dolnośląskie,oleśnicki,105979,98,47513,31,t0214
dolnośląskie,oławski,47244,21,21776,0,t0215
dolnośląskie,polkowicki,43602,36,18880,12,t0216
dolnośląskie,strzeliński,39452,81,18001,18,t0217
dolnośląskie,średzki,23604,43,10886,4,t0218
dolnośląskie,świdnicki,109646,157,49071,31,t0219
dolnośląskie,trzebnicki,63219,37,29835,8,t0220
dolnośląskie,wałbrzyski,33554,28,15585,0,t0221
dolnośląskie,wołowski,44759,79,19585,10,t0222
dolnośląskie,wrocławski,108649,96,50720,20,t0223
dolnośląskie,ząbkowicki,59604,52,26891,10,t0224
dolnośląskie,zgorzelecki,63878,124,28158,12,t0225
dolnośląskie,złotoryjski,36773,65,16296,2,t0226
dolnośląskie,Jelenia Góra,95908,60,44805,13,t0261
dolnośląskie,Legnica,95999,83,43937,16,t0262
dolnośląskie,Wrocław,1112711,1176,507094,132,t0264
dolnośląskie,Wałbrzych,221510,210,100675,37,t0265
kujawsko-pomorskie,aleksandrowski,137156,205,64151,27,t0401
kujawsko-pomorskie,brodnicki,76902,93,35435,9,t0402
kujawsko-pomorskie,bydgoski,81156,131,37851,29,t0403
kujawsko-pomorskie,chełmiński,44491,73,20395,23,t0404
kujawsko-pomorskie,golubsko-dobrzyński,37936,15,17364,11,t0405
kujawsko-pomorskie,grudziądzki,27896,56,12564,21,t0406
kujawsko-pomorskie,inowrocławski,110349,105,51326,9,t0407
kujawsko-pomorskie,lipnowski,56657,55,25713,4,t0408
kujawsko-pomorskie,mogileński,35311,37,16225,8,t0409
kujawsko-pomorskie,nakielski,89970,50,39529,12,t0410
kujawsko-pomorskie,radziejowski,46463,64,21505,3,t0411
kujawsko-pomorskie,rypiński,38087,24,17639,2,t0412
kujawsko-pomorskie,sępoleński,51396,133,23052,11,t0413
kujawsko-pomorskie,świecki,83459,105,37697,24,t0414
kujawsko-pomorskie,toruński,75434,86,32727,14,t0415
kujawsko-pomorskie,tucholski,41450,46,18776,23,t0416
kujawsko-pomorskie,wąbrzeski,30119,23,13425,4,t0417
kujawsko-pomorskie,włocławski,68625,139,32257,8,t0418
kujawsko-pomorskie,żniński,55346,17,25952,13,t0419
kujawsko-pomorskie,Bydgoszcz,462020,812,209387,104,t0461
kujawsko-pomorskie,Grudziądz,130362,64,59265,14,t0462
kujawsko-pomorskie,Toruń,209272,385,93574,45,t0463
kujawsko-pomorskie,Włocławek,101278,119,44543,21,t0464
lubelskie,bialski,65581,153,29272,8,t0601
lubelskie,biłgorajski,58027,127,26868,13,t0602
lubelskie,chełmski,38353,63,17717,16,t0603
lubelskie,hrubieszowski,48264,102,21617,14,t0604
lubelskie,janowski,33549,77,15307,11,t0605
lubelskie,krasnostawski,43989,123,19839,16,t0606
