wojewodztwo,powiat_miasto,liczba_szczepien_ogolem,liczba_szczepien_dziennie,dawka_2_ogolem,dawka_2_dziennie,teryt
woj_puste,pow_puste,1,0,1,0,t00
dolnośląskie,bolesławiecki,1573,149,0,0,t0201
dolnośląskie,dzierżoniowski,848,87,0,0,t0202
dolnośląskie,głogowski,654,18,0,0,t0203
dolnośląskie,górowski,82,6,0,0,t0204
dolnośląskie,jaworski,495,40,0,0,t0205
dolnośląskie,jeleniogórski,484,109,0,0,t0206
dolnośląskie,kamiennogórski,492,66,0,0,t0207
dolnośląskie,kłodzki,2610,224,0,0,t0208
dolnośląskie,legnicki,0,0,0,0,t0209
dolnośląskie,lubański,436,24,0,0,t0210
dolnośląskie,lubiński,2223,288,0,0,t0211
dolnośląskie,lwówecki,624,43,0,0,t0212
dolnośląskie,milicki,444,48,0,0,t0213
dolnośląskie,oleśnicki,1030,104,0,0,t0214
dolnośląskie,oławski,874,101,0,0,t0215
dolnośląskie,polkowicki,0,0,0,0,t0216
dolnośląskie,strzeliński,506,0,0,0,t0217
dolnośląskie,średzki,83,18,0,0,t0218
dolnośląskie,świdnicki,1851,67,0,0,t0219
dolnośląskie,trzebnicki,939,65,0,0,t0220
dolnośląskie,wałbrzyski,697,110,0,0,t0221
dolnośląskie,wołowski,505,30,0,0,t0222
dolnośląskie,wrocławski,324,12,0,0,t0223
dolnośląskie,ząbkowicki,1159,203,126,58,t0224
dolnośląskie,zgorzelecki,2027,225,224,224,t0225
dolnośląskie,złotoryjski,422,0,0,0,t0226
dolnośląskie,Jelenia Góra,1942,36,70,28,t0261
dolnośląskie,Legnica,2553,131,265,131,t0262
dolnośląskie,Wrocław,26511,1172,1710,878,t0264
dolnośląskie,Wałbrzych,2897,143,193,139,t0265
kujawsko-pomorskie,aleksandrowski,648,26,0,0,t0401
kujawsko-pomorskie,brodnicki,784,66,66,66,t0402
kujawsko-pomorskie,bydgoski,239,96,0,0,t0403
kujawsko-pomorskie,chełmiński,517,91,22,22,t0404
kujawsko-pomorskie,golubsko-dobrzyński,413,0,0,0,t0405
kujawsko-pomorskie,grudziądzki,85,0,0,0,t0406
kujawsko-pomorskie,inowrocławski,1956,114,60,60,t0407
kujawsko-pomorskie,lipnowski,568,72,0,0,t0408
kujawsko-pomorskie,mogileński,373,68,3,3,t0409
kujawsko-pomorskie,nakielski,440,71,0,0,t0410
kujawsko-pomorskie,radziejowski,639,49,0,0,t0411
kujawsko-pomorskie,rypiński,483,98,140,91,t0412
kujawsko-pomorskie,sępoleński,729,139,40,40,t0413
kujawsko-pomorskie,świecki,741,113,1,0,t0414
kujawsko-pomorskie,toruński,391,12,0,0,t0415
kujawsko-pomorskie,tucholski,350,0,0,0,t0416
kujawsko-pomorskie,wąbrzeski,179,24,0,0,t0417
kujawsko-pomorskie,włocławski,374,119,0,0,t0418
kujawsko-pomorskie,żniński,780,95,0,0,t0419
kujawsko-pomorskie,Bydgoszcz,10923,970,560,345,t0461
kujawsko-pomorskie,Grudziądz,2040,227,208,208,t0462
kujawsko-pomorskie,Toruń,4614,562,490,172,t0463
kujawsko-pomorskie,Włocławek,1001,66,72,6,t0464
lubelskie,bialski,383,102,0,0,t0601
lubelskie,biłgorajski,676,40,0,0,t0602
lubelskie,chełmski,10,5,0,0,t0603
lubelskie,hrubieszowski,554,48,48,48,t0604
lubelskie,janowski,593,52,0,0,t0605
lubelskie,krasnostawski,793,60,0,0,t0606
lubelskie,kraśnicki,492,59,0,0,t0607
lubelskie,lubartowski,925,89,0,0,t0608
lubelskie,lubelski,725,138,0,0,t0609
lubelskie,łęczyński,689,23,0,0,t0610
lubelskie,łukowski,892,176,0,0,t0611
lubelskie,opolski,493,59,59,59,t0612
lubelskie,parczewski,695,104,0,0,t0613
lubelskie,puławski,2487,143,195,65,t0614
lubelskie,radzyński,536,0,0,0,t0615
lubelskie,rycki,423,48,25,25,t0616
lubelskie,świdnicki,373,60,0,0,t0617
lubelskie,tomaszowski,890,94,0,0,t0618
lubelskie,włodawski,617,6,0,0,t0619
lubelskie,zamojski,387,59,0,0,t0620
lubelskie,Biała Podlaska,1982,255,250,138,t0661
lubelskie,Chełm,1303,165,115,74,t0662
lubelskie,Lublin,13660,590,490,153,t0663
lubelskie,Zamość,1782,132,119,52,t0664
lubuskie,gorzowski,277,0,0,0,t0801
lubuskie,krośnieński,562,140,0,0,t0802
lubuskie,międzyrzecki,1346,37,0,0,t0803
lubuskie,nowosolski,1299,1,72,1,t0804
lubuskie,słubicki,424,90,74,74,t0805
lubuskie,strzelecko-drezdenecki,442,0,0,0,t0806
lubuskie,sulęciński,429,1,0,0,t0807
lubuskie,świebodziński,859,47,39,13,t0808
lubuskie,zielonogórski,712,217,79,79,t0809
lubuskie,żagański,337,0,0,0,t0810
lubuskie,żarski,1618,185,89,54,t0811
lubuskie,wschowski,462,33,73,31,t0812
lubuskie,Gorzów Wielkopolski,2302,213,146,70,t0861
lubuskie,Zielona Góra,1797,105,103,30,t0862
łódzkie,bełchatowski,1374,197,144,90,t1001
łódzkie,kutnowski,896,145,53,15,t1002
łódzkie,łaski,265,0,0,0,t1003
łódzkie,łęczycki,1068,163,11,11,t1004
łódzkie,łowicki,1441,180,99,22,t1005
łódzkie,łódzki wschodni,224,36,0,0,t1006
łódzkie,opoczyński,609,54,52,52,t1007
łódzkie,pabianicki,1360,129,1,1,t1008
łódzkie,pajęczański,328,24,0,0,t1009
łódzkie,piotrkowski,151,0,0,0,t1010
łódzkie,poddębicki,492,0,0,0,t1011
łódzkie,radomszczański,1932,195,77,47,t1012
łódzkie,rawski,224,1,0,0,t1013
łódzkie,sieradzki,1475,121,118,88,t1014
łódzkie,skierniewicki,0,0,0,0,t1015
łódzkie,tomaszowski,1450,81,76,20,t1016
łódzkie,wieluński,546,73,0,0,t1017
łódzkie,wieruszowski,162,20,0,0,t1018
łódzkie,zduńskowolski,758,119,74,45,t1019
łódzkie,zgierski,2701,100,64,23,t1020
łódzkie,brzeziński,407,49,0,0,t1021
łódzkie,Łódź,24145,1303,1020,492,t1061
łódzkie,Piotrków Trybunalski,1443,172,61,18,t1062
łódzkie,Skierniewice,1164,122,74,8,t1063
małopolskie,bocheński,656,6,0,0,t1201
małopolskie,brzeski,958,65,37,37,t1202
małopolskie,chrzanowski,1037,22,0,0,t1203
małopolskie,dąbrowski,789,66,0,0,t1204
małopolskie,gorlicki,831,77,0,0,t1205
małopolskie,krakowski,646,129,0,0,t1206
małopolskie,limanowski,890,68,0,0,t1207
małopolskie,miechowski,981,166,133,85,t1208
małopolskie,myślenicki,843,64,0,0,t1209
małopolskie,nowosądecki,521,22,0,0,t1210
małopolskie,nowotarski,1600,150,46,46,t1211
małopolskie,olkuski,770,31,0,0,t1212
małopolskie,oświęcimski,1280,112,61,35,t1213
małopolskie,proszowicki,574,81,54,54,t1214
małopolskie,suski,1202,168,141,52,t1215
małopolskie,tarnowski,641,236,0,0,t1216
małopolskie,tatrzański,632,27,1,1,t1217
małopolskie,wadowicki,624,100,0,0,t1218
małopolskie,wielicki,239,95,0,0,t1219
małopolskie,Kraków,24217,1355,1241,567,t1261
małopolskie,Nowy Sącz,1177,134,53,24,t1262
małopolskie,Tarnów,3429,193,200,55,t1263
mazowieckie,białobrzeski,227,84,0,0,t1401
mazowieckie,ciechanowski,1296,0,37,0,t1402
mazowieckie,garwoliński,490,72,0,0,t1403
mazowieckie,gostyniński,281,37,0,0,t1404
mazowieckie,grodziski,2239,210,6,6,t1405
mazowieckie,grójecki,1372,138,71,71,t1406
mazowieckie,kozienicki,261,0,0,0,t1407
mazowieckie,legionowski,333,84,0,0,t1408
mazowieckie,lipski,304,56,0,0,t1409
mazowieckie,łosicki,178,0,0,0,t1410
mazowieckie,makowski,405,53,0,0,t1411
mazowieckie,miński,1083,39,0,0,t1412
mazowieckie,mławski,882,65,22,0,t1413
mazowieckie,nowodworski,2506,179,0,0,t1414
mazowieckie,ostrołęcki,71,23,0,0,t1415
mazowieckie,ostrowski,696,29,0,0,t1416
mazowieckie,otwocki,1294,187,0,0,t1417
mazowieckie,piaseczyński,2505,313,0,0,t1418
mazowieckie,płocki,864,231,0,0,t1419
