wojewodztwo,liczba_nowych_zakazen,liczba_ponownych_zakazen,liczba_przypadkow,liczba_nowych_zakazen_na_10_tys_mieszkancow,liczba_ponownych_zakazen_na_10_tys_mieszkancow,liczba_na_10_tys_mieszkancow,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych,liczba_zlecen_poz,liczba_ozdrowiencow,liczba_osob_objetych_kwarantanna,liczba_wykonanych_testow,liczba_testow_z_wynikiem_pozytywnym,liczba_testow_z_wynikiem_negatywnym,liczba_pozostalych_testow,teryt,stan_rekordu_na
Cały kraj,-,-,479,-,-,0.12,0,0,0,10,0,0,2707,525,2175,7,t00,2023-03-11
dolnośląskie,-,-,14,-,-,0.05,0,0,0,0,0,0,71,15,55,1,t02,2023-03-11
kujawsko-pomorskie,-,-,26,-,-,0.13,0,0,0,1,0,0,84,30,54,0,t04,2023-03-11
lubelskie,-,-,54,-,-,0.26,0,0,0,4,0,0,280,60,219,1,t06,2023-03-11
lubuskie,-,-,14,-,-,0.14,0,0,0,0,0,0,71,16,55,0,t08,2023-03-11
łódzkie,-,-,38,-,-,0.16,0,0,0,3,0,0,138,40,98,0,t10,2023-03-11
małopolskie,-,-,47,-,-,0.14,0,0,0,0,0,0,172,48,124,0,t12,2023-03-11
mazowieckie,-,-,57,-,-,0.11,0,0,0,1,0,0,546,58,487,1,t14,2023-03-11
opolskie,-,-,12,-,-,0.12,0,0,0,0,0,0,62,14,48,0,t16,2023-03-11
podkarpackie,-,-,21,-,-,0.1,0,0,0,0,0,0,133,22,111,0,t18,2023-03-11
podlaskie,-,-,9,-,-,0.08,0,0,0,0,0,0,84,11,73,0,t20,2023-03-11
pomorskie,-,-,36,-,-,0.15,0,0,0,1,0,0,111,37,74,0,t22,2023-03-11
śląskie,-,-,51,-,-,0.11,0,0,0,0,0,0,301,61,239,1,t24,2023-03-11
świętokrzyskie,-,-,19,-,-,0.15,0,0,0,0,0,0,102,22,80,0,t26,2023-03-11
warmińsko-mazurskie,-,-,13,-,-,0.09,0,0,0,0,0,0,68,15,53,0,t28,2023-03-11
wielkopolskie,-,-,37,-,-,0.11,0,0,0,0,0,0,248,42,204,2,t30,2023-03-11
zachodniopomorskie,-,-,16,-,-,0.09,0,0,0,0,0,0,83,17,66,0,t32,2023-03-11
